name, atom, M0, P11
TET, C, -0.474301754, 15.1576573248 0 0 15.1576573248 0 15.1576573248
TET, Cl, 0.118575455, 14.0700941158 0 0 14.0700941158 0 14.0700941158
BEN, C, -0.111864049, 9.02145610538 0 0 9.02145610538 0 9.02145610538
BEN, H, 0.111864048, 2.79156494409 0 0 2.79156494409 0 2.79156494409
WAT, OW, -0.674444081, 5.73935090215 0 0 5.73935090215 0 5.73935090215
WAT, HW, 0.337222056, 2.3083905146 0 0 2.3083905146 0 2.3083905146
SOL, OW, -0.674444081, 5.73935090215 0 0 5.73935090215 0 5.73935090215
SOL, HW2, 0.337222056, 2.3083905146 0 0 2.3083905146 0 2.3083905146
SOL, HW1, 0.337222056, 2.3083905146 0 0 2.3083905146 0 2.3083905146
THF, C1, 0.225750459, 6.4211101486 0 0 6.4211101486 0 6.4211101486
THF, H1, -0.001771675, 2.63817520037 0 0 2.63817520037 0 2.63817520037
THF, C2, -0.043387228, 6.7335516507 0 0 6.7335516507 0 6.7335516507
THF, H2, 0.017311093, 2.56255504996 0 0 2.56255504996 0 2.56255504996
THF, O, -0.426884155, 5.41567574251 0 0 5.41567574251 0 5.41567574251
DIO, O, -0.366755178, 
DIO, C, 0.061939735, 
DIO, H, 0.06071893, 
